Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
G,Scottie Scheffler (22017861),Scottie Scheffler,22017861,WG,10300,Masters Tournament,Golf,92.62
G,Dustin Johnson (22017862),Dustin Johnson,22017862,WG,10000,Masters Tournament,Golf,72.9
G,Cameron Smith (22017863),Cameron Smith,22017863,WG,9900,Masters Tournament,Golf,98.69
G,Jon Rahm (22017864),Jon Rahm,22017864,WG,9800,Masters Tournament,Golf,84.94
G,Justin Thomas (22017865),Justin Thomas,22017865,WG,9600,Masters Tournament,Golf,104.15
G,Viktor Hovland (22017866),Viktor Hovland,22017866,WG,9500,Masters Tournament,Golf,98.35
G,Rory McIlroy (22017867),Rory McIlroy,22017867,WG,9300,Masters Tournament,Golf,87.89
G,Patrick Cantlay (22017868),Patrick Cantlay,22017868,WG,9100,Masters Tournament,Golf,94.75
G,Collin Morikawa (22017869),Collin Morikawa,22017869,WG,9000,Masters Tournament,Golf,89
G,Brooks Koepka (22017870),Brooks Koepka,22017870,WG,8900,Masters Tournament,Golf,61.38
G,Jordan Spieth (22017871),Jordan Spieth,22017871,WG,8800,Masters Tournament,Golf,69.28
G,Will Zalatoris (22017872),Will Zalatoris,22017872,WG,8700,Masters Tournament,Golf,73.45
G,Xander Schauffele (22017873),Xander Schauffele,22017873,WG,8600,Masters Tournament,Golf,88.5
G,Daniel Berger (22017874),Daniel Berger,22017874,WG,8500,Masters Tournament,Golf,87
G,Sungjae Im (22017875),Sungjae Im,22017875,WG,8400,Masters Tournament,Golf,81.54
G,Joaquin Niemann (22017876),Joaquin Niemann,22017876,WG,8300,Masters Tournament,Golf,75.27
G,Sam Burns (22017877),Sam Burns,22017877,WG,8200,Masters Tournament,Golf,86.88
G,Corey Conners (22017878),Corey Conners,22017878,WG,8100,Masters Tournament,Golf,70.21
G,Louis Oosthuizen (22017879),Louis Oosthuizen,22017879,WG,8000,Masters Tournament,Golf,71
G,Matt Fitzpatrick (22017880),Matt Fitzpatrick,22017880,WG,8000,Masters Tournament,Golf,76.88
G,Tyrrell Hatton (22017881),Tyrrell Hatton,22017881,WG,7900,Masters Tournament,Golf,82.72
G,Shane Lowry (22017882),Shane Lowry,22017882,WG,7900,Masters Tournament,Golf,69.39
G,Hideki Matsuyama (22017883),Hideki Matsuyama,22017883,WG,7800,Masters Tournament,Golf,88.75
G,Adam Scott (22017884),Adam Scott,22017884,WG,7800,Masters Tournament,Golf,75.05
G,Bryson DeChambeau (22017885),Bryson DeChambeau,22017885,WG,7700,Masters Tournament,Golf,63.38
G,Tiger Woods (22017886),Tiger Woods,22017886,WG,7600,Masters Tournament,Golf,0
G,Russell Henley (22017887),Russell Henley,22017887,WG,7600,Masters Tournament,Golf,88.59
G,Tony Finau (22017888),Tony Finau,22017888,WG,7600,Masters Tournament,Golf,63.18
G,Billy Horschel (22017889),Billy Horschel,22017889,WG,7500,Masters Tournament,Golf,84.56
G,Webb Simpson (22017890),Webb Simpson,22017890,WG,7500,Masters Tournament,Golf,74.62
G,Talor Gooch (22017891),Talor Gooch,22017891,WG,7400,Masters Tournament,Golf,84.82
G,Marc Leishman (22017892),Marc Leishman,22017892,WG,7400,Masters Tournament,Golf,80.82
G,Cameron Champ (22017893),Cameron Champ,22017893,WG,7400,Masters Tournament,Golf,46.69
G,Sergio Garcia (22017894),Sergio Garcia,22017894,WG,7300,Masters Tournament,Golf,72.36
G,Harold Varner III (22017895),Harold Varner III,22017895,WG,7300,Masters Tournament,Golf,63.85
G,Jason Kokrak (22017896),Jason Kokrak,22017896,WG,7200,Masters Tournament,Golf,70.33
G,Abraham Ancer (22017897),Abraham Ancer,22017897,WG,7200,Masters Tournament,Golf,70.5
G,Bubba Watson (22017898),Bubba Watson,22017898,WG,7200,Masters Tournament,Golf,51.38
G,Robert Macintyre (22017899),Robert Macintyre,22017899,WG,7100,Masters Tournament,Golf,62.92
G,Sepp Straka (22017900),Sepp Straka,22017900,WG,7100,Masters Tournament,Golf,57.94
G,Danny Willett (22017901),Danny Willett,22017901,WG,7100,Masters Tournament,Golf,48.79
G,Thomas Pieters (22017902),Thomas Pieters,22017902,WG,7100,Masters Tournament,Golf,63.58
G,Erik Van Rooyen (22017903),Erik Van Rooyen,22017903,WG,7000,Masters Tournament,Golf,67.96
G,Christiaan Bezuidenhout (22017904),Christiaan Bezuidenhout,22017904,WG,7000,Masters Tournament,Golf,64.83
G,Justin Rose (22017905),Justin Rose,22017905,WG,7000,Masters Tournament,Golf,71.28
G,Luke List (22017906),Luke List,22017906,WG,7000,Masters Tournament,Golf,64.04
G,Gary Woodland (22017907),Gary Woodland,22017907,WG,6900,Masters Tournament,Golf,61.38
G,Brian Harman (22017908),Brian Harman,22017908,WG,6900,Masters Tournament,Golf,63.42
G,Kevin Kisner (22017909),Kevin Kisner,22017909,WG,6900,Masters Tournament,Golf,67.65
