"","x"
"Patrick Reed",39.4106231929144
"Michael Allen",96.7448112983299
"Robert Allenby",83.0752130759652
"Stephen Ames",107.827865032007
"Byeong Hun An",59.8794942083857
"Abraham Ancer",35.2528338574324
"Mark Anderson",76.4739033110356
"Billy Andrade",52.5128604706605
"Kiradech Aphibarnrat",71.7492724472735
"Stuart Appleby",75.2362972616715
"Ryan Armour",56.6019299209032
"Arjun Atwal",65.2985838850718
"Woody Austin",108.337309666803
"Eric Axley",77.3414979690067
"Aaron Baddeley",65.6620657702999
"Sangmoon Bae",70.5221004354005
"Briny Baird",105.578140527318
"Chris Baker",66.4563816734627
"Craig Barlow",89.7125335384228
"Ricky Barnes",63.2727432104076
"Cameron Beckman",92.3844409905445
"Rich Beem",95.4991527734633
"Notah Begay III",128.748881490525
"Charlie Beljan",63.2597691057693
"Daniel Berger",30.8513589364742
"Matt Bettencourt",99.5631805650846
"Christiaan Bezuidenhout",51.8005878937763
"Gaganjeet Bhullar",59.4213490991827
"Lucas Bjerregaard",80.6453455591829
"Alexander Björk",77.2568499949254
"Thomas Bjørn",105.82436165557
"Zac Blair",76.5727147059798
"Ryan Blaum",64.1324384864102
"Jonas Blixt",74.6418247180628
"Jason Bohn",70.2147007333554
"Guy Boros",105.309047379614
"Grégory Bourdy",77.0298899236205
"Steven Bowditch",94.3284852846537
"Dominic Bozzelli",87.1501230317224
"Keegan Bradley",48.3442571362162
"Michael Bradley",90.3474995800491
"Joseph Bramlett",63.0032596286862
"Ryan Brehm",54.9653372305542
"Mark Brooks",123.955860795261
"Scott Brown",64.8749794378422
"Olin Browne",126.127880499862
"Wesley Bryan",68.2191616831787
"Bart Bryant",120.602092018366
"Bronson Burgoon",60.3593933277642
"Sam Burns",60.373182027088
"Jonathan Byrd",67.893323265166
"Ángel Cabrera",90.2947541164156
"Rafa Cabrera Bello",66.7059868931675
"Mark Calcavecchia",114.814359548356
"Chad Campbell",93.6212224494506
"Rafael Campos",63.9604255560046
"Patrick Cantlay",38.4227895155189
"Sebastian Cappelen",76.1764826941302
"Paul Casey",33.1460138002766
"Roberto Castro",60.7109558877937
"Bud Cauley",54.3955635233467
"Alex Cejka",78.5282646205982
"Greg Chalmers",77.8484793013356
"Cameron Champ",65.0600713323346
"Kevin Chappell",66.9984364241195
"SSP Chawrasia",72.3452216745805
"K.J. Choi",73.5408230539038
"Daniel Chopra",77.0909762900513
"Stewart Cink",47.9079505346578
"Tim Clark",103.136403415535
"Wyndham Clark",57.0584578008122
"Darren Clarke",77.7010277369973
"Keith Clearwater",106.373423159654
"George Coetzee",72.9939878443371
"Chad Collins",79.788149667183
"Nicolas Colsaerts",90.8812511143282
"Corey Conners",33.6172750324027
"Austin Cook",63.6505660204081
"Chris Couch",71.3351304841307
"Fred Couples",73.2013510726201
"Vince Covello",79.7754503903639
"Ben Crane",71.3054416815083
"Ben Curtis",108.10017573492
"Joel Dahmen",69.5043275134163
"John Daly",89.6835278657013
"Robert Damron",123.808335717353
"Brian Davis",84.0008053670733
"Cameron Davis",47.6819863802798
"Marco Dawson",115.11315272587
"Glen Day",111.113927966021
"Jason Day",42.7053511165602
"Brendon de Jonge",86.6756860453852
"Bryson DeChambeau",31.3002617916795
"Graham DeLaet",78.4310089907757
"Chris DiMarco",119.197415419922
"Matt Dobyns",101.667883494279
"Luke Donald",67.7683159658225
"Jamie Donaldson",86.8646109360041
"Victor Dubuisson",70.6797261725727
"Jason Dufner",66.3668279765707
"Ken Duke",73.592809639927
"Tyler Duncan",63.334741687618
"Paul Dunne",62.7475212937106
"Joe Durant",96.7103845683253
"David Duval",91.5299757415698
"Steve Elkington",117.880434946069
"Ernie Els",74.6782274652482
"Harris English",43.9289571857797
"Derek Ernst",71.5201711451801
"Bob Estes",86.054920450959
"Matt Every",86.1233926930872
"Brad Faxon",53.6650793129327
"Tony Finau",38.5321899506271
"Ross Fisher",68.6814350599941
