"","rfpreds$predictions"
"Patrick Reed",46.4558
"John Adams",92.6267333333333
"Sam Adams",61.5501367334412
"Fulton Allem",89.9772333333333
"Michael Allen",61.1145333333333
"Robert Allenby",83.9336333333333
"Stephen Ames",81.7870000000001
"Byeong Hun An",63.4106333333334
"Abraham Ancer",44.4960666666667
"Mark Anderson",68.4897666666667
"Billy Andrade",19.7640105855856
"Isao Aoki",53.6496666666666
"Kiradech Aphibarnrat",70.0231333333333
"Stuart Appleby",70.0672333333333
"Ryan Armour",59.7655333333334
"Tommy Armour III",88.8556
"Wally Armstrong",89.7155
"Arjun Atwal",64.3099333333333
"Woody Austin",82.9741666666667
"Eric Axley",72.9469333333334
"Paul Azinger",89.1363
"Aaron Baddeley",67.7921
"Sangmoon Bae",69.7364666666667
"Briny Baird",84.7431
"Chris Baker",62.4882333333333
"Ian Baker-Finch",95.4847
"Craig Barlow",89.6590333333333
"Ricky Barnes",67.3038
"Dave Barr",92.3031
"Brian Bateman",88.8394333333334
"Andy Bean",95.673
"Chip Beck",106.577466666667
"Cameron Beckman",84.2238666666666
"Rich Beem",95.8789
"Notah Begay III",102.4872
"Charlie Beljan",60.2814333333334
"Deane Beman",71.2562999999999
"Jim Benepe",83.9625
"David Berganio, Jr.",84.7916333333334
"Daniel Berger",34.1403333333334
"Matt Bettencourt",83.3538333333333
"Christiaan Bezuidenhout",57.6623666666667
"Gaganjeet Bhullar",46.7480965149973
"Lucas Bjerregaard",87.2783
"Alexander Björk",69.5836666666666
"Thomas Bjørn",95.3461666666667
"Ronnie Black",67.3609333333333
"Woody Blackburn",94.3952
"Phil Blackmar",87.0882666666667
"Zac Blair",80.8473333333334
"Jay Don Blake",79.2188333333334
"Homero Blancas",79.0779
"Ryan Blaum",65.2860666666667
"Jonas Blixt",69.2533333333333
"Jason Bohn",69.7999
"Guy Boros",75.2429
"Grégory Bourdy",61.0257333333334
"Steven Bowditch",81.3941
"Dominic Bozzelli",89.6395333333334
"Keegan Bradley",52.4731
"Michael Bradley",76.0978
"Joseph Bramlett",65.6968
